2019-11-15 13:11:26.637 | INFO     | __main__:<module>:150 - Starting Turn1 check
2019-11-15 13:11:26.743 | INFO     | __main__:check:137 - check finished at 192.168.15.166, status is success
2019-11-15 13:11:31.772 | ERROR    | __main__:post_log:125 - error <class 'requests.exceptions.ConnectTimeout'>:HTTPConnectionPool(host='192.168.100.100', port=80): Max retries exceeded with url: /Check/Index/putCheckLog (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x105c94610>, 'Connection to 192.168.100.100 timed out. (connect timeout=5)')) occured when post log
2019-11-15 13:11:36.782 | ERROR    | __main__:post_log:125 - error <class 'requests.exceptions.ConnectTimeout'>:HTTPConnectionPool(host='192.168.100.100', port=80): Max retries exceeded with url: /Check/Index/putCheckLog (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x1065efc90>, 'Connection to 192.168.100.100 timed out. (connect timeout=5)')) occured when post log
2019-11-15 13:11:41.791 | ERROR    | __main__:post_log:125 - error <class 'requests.exceptions.ConnectTimeout'>:HTTPConnectionPool(host='192.168.100.100', port=80): Max retries exceeded with url: /Check/Index/putCheckLog (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x1065fdad0>, 'Connection to 192.168.100.100 timed out. (connect timeout=5)')) occured when post log
2019-11-15 13:11:41.791 | ERROR    | __main__:post_log:129 - fail to submit log in 2019-11-15-13-11-41
2019-11-15 13:11:41.796 | INFO     | __main__:<module>:157 - Stopping Turn1 check, time cost 15.139107942581177
2019-11-15 13:12:26.662 | INFO     | __main__:<module>:150 - Starting Turn2 check
2019-11-15 13:12:26.755 | INFO     | __main__:check:137 - check finished at 192.168.15.166, status is success
2019-11-15 13:12:31.774 | ERROR    | __main__:post_log:125 - error <class 'requests.exceptions.ConnectTimeout'>:HTTPConnectionPool(host='192.168.100.100', port=80): Max retries exceeded with url: /Check/Index/putCheckLog (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x1065fd0d0>, 'Connection to 192.168.100.100 timed out. (connect timeout=5)')) occured when post log
2019-11-15 13:12:36.785 | ERROR    | __main__:post_log:125 - error <class 'requests.exceptions.ConnectTimeout'>:HTTPConnectionPool(host='192.168.100.100', port=80): Max retries exceeded with url: /Check/Index/putCheckLog (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x1065ef510>, 'Connection to 192.168.100.100 timed out. (connect timeout=5)')) occured when post log
2019-11-15 13:12:41.797 | ERROR    | __main__:post_log:125 - error <class 'requests.exceptions.ConnectTimeout'>:HTTPConnectionPool(host='192.168.100.100', port=80): Max retries exceeded with url: /Check/Index/putCheckLog (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x10658f810>, 'Connection to 192.168.100.100 timed out. (connect timeout=5)')) occured when post log
2019-11-15 13:12:41.799 | ERROR    | __main__:post_log:129 - fail to submit log in 2019-11-15-13-12-41
2019-11-15 13:12:41.801 | INFO     | __main__:<module>:157 - Stopping Turn2 check, time cost 15.11057710647583
2019-11-15 13:13:26.695 | INFO     | __main__:<module>:150 - Starting Turn3 check
2019-11-15 13:13:26.802 | INFO     | __main__:check:137 - check finished at 192.168.15.166, status is success
2019-11-15 13:13:31.821 | ERROR    | __main__:post_log:125 - error <class 'requests.exceptions.ConnectTimeout'>:HTTPConnectionPool(host='192.168.100.100', port=80): Max retries exceeded with url: /Check/Index/putCheckLog (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x106606bd0>, 'Connection to 192.168.100.100 timed out. (connect timeout=5)')) occured when post log
